latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.4905,4.6141,305,1.1,1.1,2023-01-01,1021,Terra,MODIS,57,61.03,278.4,12.2,D,2
52.362,6.633,313.8,1.4,1.2,2023-01-20,2128,Terra,MODIS,88,61.03,271.6,31.2,N,2
52.3639,6.6541,304.6,1.4,1.2,2023-01-20,2128,Terra,MODIS,61,61.03,271.1,20.4,N,2
52.4937,4.6155,300.7,1,1,2023-01-30,1035,Terra,MODIS,40,61.03,278.1,7.7,D,2
52.4821,4.6002,302.1,1.1,1,2023-02-14,0221,Aqua,MODIS,41,61.03,277.6,9.9,N,2
52.4939,4.6103,305,1,1,2023-03-01,1240,Aqua,MODIS,51,61.03,283.2,7.9,D,2
52.4144,5.9445,334.4,2.4,1.5,2023-03-02,1323,Aqua,MODIS,89,61.03,284.2,136.7,D,0
52.4873,4.6154,302.1,1.1,1.1,2023-03-13,1257,Aqua,MODIS,35,61.03,286.4,6.1,D,2
52.4904,4.6162,302.5,1.7,1.3,2023-03-18,1001,Terra,MODIS,0,61.03,287,10.5,D,2
52.4842,4.5971,300.6,1.3,1.2,2023-03-23,1010,Terra,MODIS,0,61.03,286.5,6.9,D,2
52.4851,4.6126,300.6,1.1,1,2023-03-24,1231,Aqua,MODIS,34,61.03,288.2,4.8,D,2
52.0161,4.271,313.1,1.1,1.1,2023-03-27,1259,Aqua,MODIS,73,61.03,285.6,14.8,D,2
52.4171,5.256,332.5,1.4,1.2,2023-04-02,1218,Aqua,MODIS,78,61.03,285,52.5,D,2
52.4227,5.248,302.2,1.4,1.2,2023-04-02,1218,Aqua,MODIS,0,61.03,283.7,9.8,D,0
52.7859,5.0449,314.7,1.4,1.2,2023-04-02,1218,Aqua,MODIS,71,61.03,281.6,23.3,D,0
52.1823,4.7215,303.9,1.9,1.3,2023-04-03,1108,Terra,MODIS,50,61.03,283.6,19.2,D,0
52.0146,4.2751,302,1.1,1.1,2023-04-03,1300,Aqua,MODIS,50,61.03,289.5,5.4,D,2
51.4074,6.0404,318.6,1.5,1.2,2023-04-05,1052,Terra,MODIS,79,61.03,288.3,29.4,D,2
51.4032,6.0607,318.6,1.5,1.2,2023-04-05,1052,Terra,MODIS,79,61.03,288.6,29.3,D,0
51.3664,6.0186,307.7,1.5,1.2,2023-04-05,1052,Terra,MODIS,66,61.03,287.2,14.7,D,0
52.2551,4.8003,305.5,1,1,2023-04-05,1246,Aqua,MODIS,35,61.03,287,5.1,D,2
51.9177,5.9269,339.9,1.3,1.1,2023-04-09,1218,Aqua,MODIS,92,61.03,290.8,62.6,D,2
51.9151,5.9231,307.3,1.3,1.1,2023-04-09,1218,Aqua,MODIS,44,61.03,290.4,9.3,D,0
51.8064,5.2776,331.6,1.4,1.2,2023-04-09,1218,Aqua,MODIS,72,61.03,288.2,49.6,D,2
52.4216,5.2686,323.6,1.4,1.2,2023-04-09,1218,Aqua,MODIS,82,61.03,287.6,31.8,D,0
52.4178,5.2497,326,1.4,1.2,2023-04-09,1218,Aqua,MODIS,75,61.03,286.7,36,D,0
52.7153,5.1939,305.2,1.3,1.1,2023-04-09,1219,Aqua,MODIS,61,61.03,285.2,9.2,D,2
51.5531,4.2923,325.5,1,1,2023-04-12,1246,Aqua,MODIS,74,61.03,286.6,23.3,D,0
51.6149,4.3971,321,1,1,2023-04-12,1246,Aqua,MODIS,64,61.03,284.9,19.2,D,0
51.6114,5.6985,313.5,1,1,2023-04-14,1027,Terra,MODIS,66,61.03,287.6,11.7,D,0
51.2324,5.6777,389.2,1,1,2023-04-14,1028,Terra,MODIS,100,61.03,286.4,194.9,D,2
52.6874,5.0298,309.9,1.1,1,2023-04-14,1233,Aqua,MODIS,69,61.03,290.6,10.2,D,2
52.0242,4.2316,301.6,1.9,1.3,2023-04-15,1108,Terra,MODIS,47,61.03,286.2,9.6,D,2
52.2173,4.7619,302.4,1,1,2023-04-19,1036,Terra,MODIS,52,61.03,287.1,4.8,D,0
52.215,4.7763,302.8,1,1,2023-04-19,1036,Terra,MODIS,51,61.03,288.2,5.5,D,0
51.9851,4.1844,304.2,1,1,2023-04-19,1247,Aqua,MODIS,40,61.03,290.6,3.5,D,2
51.2855,3.3898,302.8,1,1,2023-04-19,1247,Aqua,MODIS,54,61.03,290.7,4.4,D,0
51.6227,4.3791,342.8,1,1,2023-04-19,1247,Aqua,MODIS,88,61.03,292.1,44.6,D,2
51.8338,4.6142,330.4,1,1,2023-04-19,1247,Aqua,MODIS,87,61.03,293.4,27.6,D,2
51.8318,4.6,320.8,1,1,2023-04-19,1247,Aqua,MODIS,80,61.03,292.1,16.9,D,2
51.983,4.1702,305.5,1,1,2023-04-19,1247,Aqua,MODIS,54,61.03,288.6,4.4,D,2
52.0868,4.6956,317.1,1,1,2023-04-19,1247,Aqua,MODIS,77,61.03,293.2,14.9,D,2
52.2551,4.7002,300.6,1,1,2023-04-19,1247,Aqua,MODIS,0,61.03,289,2.6,D,2
52.256,4.5131,303.1,1,1,2023-04-19,1247,Aqua,MODIS,42,61.03,291.1,3.5,D,2
52.0499,4.4033,301.8,1.9,1.4,2023-04-27,1108,Terra,MODIS,37,61.03,286.4,10.7,D,2
51.985,4.2095,302.6,1.9,1.3,2023-04-27,1108,Terra,MODIS,9,61.03,283.3,9.5,D,2
52.3691,6.5923,308.4,1.2,1.1,2023-04-30,1219,Aqua,MODIS,55,61.03,294.2,6.7,D,0
52.7848,5.0318,304.8,1.4,1.2,2023-04-30,1219,Aqua,MODIS,59,61.03,287.8,6.9,D,0
52.3723,6.6093,309.4,1.2,1.1,2023-04-30,1219,Aqua,MODIS,57,61.03,296.8,7.3,D,0
51.5953,4.0762,310.4,2.3,1.5,2023-05-02,1205,Aqua,MODIS,60,61.03,288.4,28.9,D,0
52.4924,4.6165,305,1.1,1,2023-05-03,1019,Terra,MODIS,56,61.03,284.8,5.7,D,2
51.5375,5.9968,332.5,1,1,2023-05-03,1020,Terra,MODIS,88,61.03,292.8,30.4,D,2
51.5336,6.0252,304.8,1,1,2023-05-03,1020,Terra,MODIS,16,61.03,289.4,4,D,2
51.3242,5.8598,307,1,1,2023-05-03,1020,Terra,MODIS,57,61.03,291.8,5.4,D,0
51.2816,5.6971,317.5,1,1,2023-05-03,1020,Terra,MODIS,77,61.03,290.5,14.3,D,0
51.3495,5.7133,305.8,1,1,2023-05-03,1247,Aqua,MODIS,45,61.03,289,4.3,D,0
51.9688,6.2652,305.8,1,1,2023-05-03,1247,Aqua,MODIS,59,61.03,290.5,6.1,D,2
52.9727,7.082,310.4,1.1,1.1,2023-05-13,1035,Terra,MODIS,65,61.03,297.2,6.9,D,0
52.7138,5.7921,308.7,1.1,1,2023-05-13,1036,Terra,MODIS,50,61.03,296.7,5.3,D,0
52.7252,5.781,333.6,1.1,1,2023-05-13,1036,Terra,MODIS,88,61.03,295.4,32,D,0
52.7227,5.7961,325,1.1,1,2023-05-13,1036,Terra,MODIS,82,61.03,294.4,20.6,D,0
52.7164,5.7771,311.2,1.1,1,2023-05-13,1036,Terra,MODIS,58,61.03,298.3,6.8,D,2
52.3715,5.7592,307.8,1.1,1,2023-05-13,1036,Terra,MODIS,54,61.03,296,5.9,D,0
51.8557,5.7418,308.5,1.1,1,2023-05-13,1036,Terra,MODIS,54,61.03,297.4,5.9,D,2
51.6536,5.6661,312.1,1.1,1,2023-05-13,1036,Terra,MODIS,65,61.03,297.9,7.5,D,2
51.4328,3.7288,303.6,1,1,2023-05-13,1036,Terra,MODIS,12,61.03,291.4,3.8,D,2
52.988,6.9774,340.3,1,1,2023-05-15,1019,Terra,MODIS,92,61.03,294.9,39.6,D,2
52.984,7.0064,313.2,1,1,2023-05-15,1019,Terra,MODIS,55,61.03,294.1,6.3,D,0
52.9793,6.9741,350.1,1,1,2023-05-15,1019,Terra,MODIS,96,61.03,297.4,57.7,D,2
