latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.5702,-69.1434,315.5,1,1,2024-01-05,1444,Terra,MODIS,70,61.03,290.8,10.5,D,0
18.5688,-69.1342,323.7,1,1,2024-01-05,1444,Terra,MODIS,80,61.03,288.1,18.5,D,0
18.3787,-71.2545,311.6,1.1,1,2024-01-05,1444,Terra,MODIS,59,61.03,298.3,6,D,0
18.7759,-69.8599,310.9,1.8,1.3,2024-01-08,1806,Aqua,MODIS,64,61.03,297,11.4,D,0
18.7788,-69.8437,325.2,1.8,1.3,2024-01-08,1806,Aqua,MODIS,81,61.03,297.7,40.8,D,0
18.8116,-71.316,311,1,1,2024-01-10,1451,Terra,MODIS,61,61.03,299.2,5.2,D,0
18.5734,-69.9582,310.6,1,1,2024-01-10,1451,Terra,MODIS,60,61.03,296.7,4.8,D,0
18.5089,-70.9207,313.2,1,1,2024-01-11,1832,Aqua,MODIS,62,61.03,301.1,5.2,D,0
18.1204,-71.1178,311.2,1,1,2024-01-11,1832,Aqua,MODIS,38,61.03,293.7,7.4,D,0
18.6854,-69.9396,309.6,1.2,1.1,2024-01-15,1457,Terra,MODIS,58,61.03,298.2,5.1,D,0
18.6873,-69.9507,323.4,1.2,1.1,2024-01-15,1457,Terra,MODIS,79,61.03,298.3,21.1,D,0
18.3876,-70.8997,315.5,1.2,1.1,2024-01-16,1842,Aqua,MODIS,67,61.03,300.5,9.7,D,0
18.7406,-69.4963,317.9,1.4,1.2,2024-01-16,1842,Aqua,MODIS,35,61.03,300.1,15.6,D,0
18.3891,-70.8888,326.9,1.2,1.1,2024-01-16,1842,Aqua,MODIS,81,61.03,300.7,23.5,D,0
18.4686,-71.3866,323,1.1,1,2024-01-16,1842,Aqua,MODIS,78,61.03,300.4,14.3,D,0
18.6309,-69.6481,314.2,1.4,1.2,2024-01-16,1842,Aqua,MODIS,63,61.03,300.2,9.8,D,0
18.4672,-71.3969,318.1,1.1,1,2024-01-16,1842,Aqua,MODIS,47,61.03,300,8.8,D,0
19.7992,-71.6302,317.1,1.1,1.1,2024-01-16,1843,Aqua,MODIS,61,61.03,303,8.8,D,0
18.4357,-70.6068,302.6,1,1,2024-01-17,0230,Terra,MODIS,50,61.03,292.2,5,N,0
18.6336,-69.3818,315.9,1.1,1.1,2024-01-17,0230,Terra,MODIS,92,61.03,293.5,16.6,N,0
18.7119,-69.4352,316.5,1.1,1,2024-01-17,0230,Terra,MODIS,93,61.03,292.7,16,N,0
18.7191,-69.4321,306.4,1.1,1.1,2024-01-17,0230,Terra,MODIS,68,61.03,292.6,8.1,N,0
18.7177,-69.4424,308.3,1.1,1,2024-01-17,0230,Terra,MODIS,74,61.03,292.5,9.8,N,0
19.1543,-69.8642,313.5,1,1,2024-01-18,1827,Aqua,MODIS,66,61.03,299.9,6.5,D,0
18.4932,-69.6555,312.9,1,1,2024-01-18,1827,Aqua,MODIS,45,61.03,298.3,5.4,D,0
18.9275,-69.5793,311.6,1,1,2024-01-18,1827,Aqua,MODIS,63,61.03,297,6.4,D,0
18.9262,-69.5886,312.7,1,1,2024-01-18,1827,Aqua,MODIS,65,61.03,295.8,7.2,D,0
18.3575,-71.2386,314.4,1.6,1.2,2024-01-19,0638,Aqua,MODIS,89,61.03,292.3,25.8,N,0
18.2937,-71.1463,311.6,1.3,1.1,2024-01-20,1504,Terra,MODIS,58,61.03,298.2,6.8,D,0
18.2957,-71.1583,319.8,1.3,1.1,2024-01-20,1504,Terra,MODIS,74,61.03,298.3,17.3,D,0
18.7222,-70.9984,317.9,1.2,1.1,2024-01-25,1822,Aqua,MODIS,55,61.03,302.5,11.3,D,0
18.3249,-70.4033,314.8,1.1,1.1,2024-01-25,1822,Aqua,MODIS,52,61.03,302.3,6.8,D,0
17.9906,-71.6611,316.6,1,1,2024-01-27,1453,Terra,MODIS,67,61.03,301.4,6.9,D,0
18.3698,-71.2609,323.5,1,1,2024-01-30,1832,Aqua,MODIS,77,61.03,299.7,12.2,D,0
18.2077,-70.5534,312.1,1,1,2024-01-30,1832,Aqua,MODIS,52,61.03,300.6,7.1,D,3
18.9917,-69.6415,316.7,1.2,1.1,2024-02-01,1816,Aqua,MODIS,54,61.03,286.4,18.2,D,0
18.8642,-69.5951,311.5,1.2,1.1,2024-02-01,1816,Aqua,MODIS,38,61.03,295,8.3,D,0
18.9898,-69.653,313.3,1.2,1.1,2024-02-01,1816,Aqua,MODIS,50,61.03,288.6,14.3,D,0
18.862,-71.1011,322.2,1.1,1,2024-02-04,1842,Aqua,MODIS,75,61.03,300.1,14.1,D,0
18.6088,-69.5148,315.2,1.3,1.1,2024-02-04,1842,Aqua,MODIS,66,61.03,296.7,10.1,D,0
19.3123,-71.5915,316.4,1.1,1,2024-02-04,1842,Aqua,MODIS,57,61.03,298.4,9.4,D,0
18.7258,-69.443,302.5,1.1,1,2024-02-05,0215,Terra,MODIS,48,61.03,292.4,5.3,N,0
18.3384,-71.1294,317.2,1.1,1.1,2024-02-06,1826,Aqua,MODIS,57,61.03,295.5,13.7,D,0
18.3298,-71.1949,309,1,1,2024-02-08,1449,Terra,MODIS,59,61.03,296.9,4.5,D,0
18.5574,-68.7457,331.3,1.4,1.2,2024-02-08,1810,Aqua,MODIS,85,61.03,294.9,42.1,D,0
18.6908,-71.0107,315.8,1,1,2024-02-11,1836,Aqua,MODIS,65,61.03,302.6,7.1,D,0
19.1532,-71.5798,319.1,1,1,2024-02-11,1836,Aqua,MODIS,69,61.03,306.7,9,D,0
19.1545,-71.5705,321,1,1,2024-02-11,1836,Aqua,MODIS,72,61.03,305.4,10.8,D,0
18.321,-70.4355,312.7,1.1,1.1,2024-02-13,1455,Terra,MODIS,57,61.03,297.4,7.7,D,0
18.3227,-70.4461,318.3,1.1,1.1,2024-02-13,1455,Terra,MODIS,72,61.03,298.9,13.4,D,0
18.5837,-69.3041,313.4,1.3,1.1,2024-02-13,1455,Terra,MODIS,37,61.03,296.9,12.3,D,0
19.4759,-70.7328,314.2,1.1,1,2024-02-13,1455,Terra,MODIS,47,61.03,300.1,5.1,D,2
18.4239,-71.2854,312.4,1.1,1,2024-02-13,1455,Terra,MODIS,42,61.03,296.8,4.4,D,0
18.7478,-71.6063,322.9,1.4,1.2,2024-02-13,1820,Aqua,MODIS,74,61.03,301,22.8,D,0
18.4835,-69.3874,316.2,1.1,1,2024-02-13,1820,Aqua,MODIS,48,61.03,301.2,8.4,D,0
18.4818,-69.3976,324.3,1.1,1,2024-02-13,1820,Aqua,MODIS,58,61.03,302.2,17.9,D,0
18.5213,-69.5096,325.5,1.1,1.1,2024-02-13,1820,Aqua,MODIS,78,61.03,303,17.7,D,0
18.5842,-69.3385,327.3,1.1,1,2024-02-13,1820,Aqua,MODIS,80,61.03,304.1,18.3,D,0
18.8775,-69.5958,317,1.1,1.1,2024-02-13,1820,Aqua,MODIS,49,61.03,297.9,10.7,D,0
18.9336,-69.5278,334.4,1.1,1,2024-02-13,1820,Aqua,MODIS,87,61.03,297,35.6,D,0
18.7499,-71.5939,344.1,1.4,1.2,2024-02-13,1820,Aqua,MODIS,92,61.03,303.8,73.2,D,0
19.4707,-70.0032,316.8,1.1,1.1,2024-02-13,1821,Aqua,MODIS,69,61.03,300.9,9.2,D,0
19.3595,-71.6321,315.9,1.4,1.2,2024-02-13,1821,Aqua,MODIS,67,61.03,293.2,16.9,D,0
18.259,-70.4866,329,2.4,1.5,2024-02-15,1805,Aqua,MODIS,82,61.03,300.9,68.4,D,0
18.2549,-70.5085,317.3,2.4,1.5,2024-02-15,1805,Aqua,MODIS,65,61.03,300.2,22.7,D,0
18.7537,-69.1416,327.2,1.6,1.2,2024-02-16,1846,Aqua,MODIS,79,61.03,299.5,33,D,0
18.5495,-69.4094,332.2,1.5,1.2,2024-02-16,1846,Aqua,MODIS,83,61.03,301.9,41.3,D,2
19.4751,-71.6691,317.3,1.1,1.1,2024-02-16,1846,Aqua,MODIS,58,61.03,301.6,7.1,D,0
19.4349,-70.8831,314.5,1.3,1.1,2024-02-18,1501,Terra,MODIS,63,61.03,301.3,10.2,D,0
18.3437,-71.1238,317.5,1.3,1.1,2024-02-18,1501,Terra,MODIS,70,61.03,300.6,12.4,D,0
19.2532,-70.5219,326.8,1,1,2024-02-18,1830,Aqua,MODIS,79,61.03,304.9,14.2,D,0
18.5355,-68.8508,318.6,1,1,2024-02-18,1830,Aqua,MODIS,63,61.03,304.8,7.7,D,0
18.4863,-69.1999,319.3,1,1,2024-02-18,1830,Aqua,MODIS,61,61.03,304,8.9,D,0
18.6457,-69.247,347,1,1,2024-02-18,1830,Aqua,MODIS,93,61.03,307.6,45.9,D,0
18.6444,-69.2564,331,1,1,2024-02-18,1830,Aqua,MODIS,82,61.03,306.8,19.9,D,0
18.7452,-70.3492,315.6,1,1,2024-02-18,1830,Aqua,MODIS,65,61.03,293.7,9.9,D,0
19.0812,-69.6827,320.5,1,1,2024-02-18,1830,Aqua,MODIS,73,61.03,301.8,11.2,D,0
19.0981,-69.8245,315.1,1,1,2024-02-18,1830,Aqua,MODIS,38,61.03,301.2,5.5,D,0
19.0967,-69.8338,325.3,1,1,2024-02-18,1830,Aqua,MODIS,79,61.03,303.2,15.6,D,0
19.2691,-69.6585,312.7,1,1,2024-02-18,1830,Aqua,MODIS,58,61.03,300.8,4.8,D,0
19.2518,-70.5312,338.6,1,1,2024-02-18,1830,Aqua,MODIS,89,61.03,304.9,31,D,0
19.2864,-71.1095,300.2,1.5,1.2,2024-02-19,0640,Aqua,MODIS,20,61.03,289.9,8.4,N,0
19.2847,-71.0958,328.3,1.5,1.2,2024-02-19,0640,Aqua,MODIS,100,61.03,290.9,51.4,N,0
19.6954,-71.3615,304,1.1,1,2024-02-20,0234,Terra,MODIS,58,61.03,293.5,6,N,0
18.4192,-70.0438,311.7,2.4,1.5,2024-02-20,0722,Aqua,MODIS,83,61.03,291.4,40.2,N,0
18.4161,-70.0392,313.8,2.4,1.5,2024-02-20,0722,Aqua,MODIS,88,61.03,292,46.4,N,2
18.5217,-68.7722,351,1.2,1.1,2024-02-20,1814,Aqua,MODIS,95,61.03,301.1,77.2,D,0
18.3038,-70.3691,320.1,1.6,1.2,2024-02-20,1814,Aqua,MODIS,66,61.03,302.4,16.8,D,0
18.6792,-68.4858,317.3,1.2,1.1,2024-02-20,1814,Aqua,MODIS,51,61.03,302.3,8.5,D,0
18.687,-68.4985,314.6,1.2,1.1,2024-02-20,1814,Aqua,MODIS,42,61.03,301.1,6.2,D,0
18.4176,-71.1767,319,1.8,1.3,2024-02-20,1814,Aqua,MODIS,70,61.03,302.8,17.6,D,0
18.4148,-71.1932,323.7,1.8,1.3,2024-02-20,1814,Aqua,MODIS,76,61.03,303,28.9,D,0
18.4261,-71.1856,318.4,1.8,1.3,2024-02-20,1814,Aqua,MODIS,30,61.03,302.8,12.8,D,0
18.7522,-69.4974,329.1,1.3,1.1,2024-02-20,1814,Aqua,MODIS,66,61.03,302.6,31.4,D,0
18.893,-69.0808,317.6,1.3,1.1,2024-02-20,1814,Aqua,MODIS,36,61.03,297.5,13.5,D,0
18.9234,-68.9571,315.4,1.2,1.1,2024-02-20,1814,Aqua,MODIS,66,61.03,300.7,9.9,D,0
18.9216,-68.9685,328.3,1.2,1.1,2024-02-20,1814,Aqua,MODIS,82,61.03,300.4,27.9,D,0
18.9322,-70.0101,333.9,1.4,1.2,2024-02-20,1814,Aqua,MODIS,86,61.03,297.6,46.5,D,0
18.9309,-69.2217,312.9,1.3,1.1,2024-02-20,1814,Aqua,MODIS,59,61.03,298.4,8.5,D,0
18.5235,-68.7609,316.7,1.2,1.1,2024-02-20,1814,Aqua,MODIS,49,61.03,298.5,9.8,D,0
19.5981,-70.3818,316.5,1.5,1.2,2024-02-20,1815,Aqua,MODIS,66,61.03,295.6,15.7,D,0
19.1497,-71.5563,316.7,1.5,1.2,2024-02-23,1508,Terra,MODIS,73,61.03,296.9,18.5,D,0
19.768,-71.5413,314.5,1,1,2024-02-23,1840,Aqua,MODIS,52,61.03,301.8,5.7,D,0
18.3572,-71.2209,316.3,1,1,2024-02-23,1840,Aqua,MODIS,52,61.03,302.4,6.2,D,0
18.9452,-69.671,319.6,1.2,1.1,2024-02-23,1840,Aqua,MODIS,72,61.03,299.3,14.5,D,0
19.1479,-71.5555,326.8,1,1,2024-02-23,1840,Aqua,MODIS,78,61.03,307.6,14,D,0
18.8767,-70.3265,314,1.1,1,2024-02-23,1840,Aqua,MODIS,58,61.03,301.9,6.5,D,0
19.1466,-71.5649,326.3,1,1,2024-02-23,1840,Aqua,MODIS,76,61.03,309.1,13.5,D,0
18.5916,-68.9477,322,4.7,2,2024-02-24,1743,Aqua,MODIS,64,61.03,299.2,109.2,D,0
18.5837,-68.9089,327.9,4.7,2,2024-02-24,1743,Aqua,MODIS,60,61.03,300.4,164.9,D,0
18.601,-68.9133,322.4,4.7,2,2024-02-24,1743,Aqua,MODIS,57,61.03,297.9,110.6,D,0
18.5832,-68.901,321.7,4.7,2,2024-02-24,1743,Aqua,MODIS,20,61.03,299.8,110.2,D,0
18.6005,-68.9053,321.4,4.7,2,2024-02-24,1743,Aqua,MODIS,61,61.03,298.3,104.2,D,0
18.5173,-71.1441,314.3,1,1,2024-02-25,1451,Terra,MODIS,62,61.03,300.6,7.5,D,0
18.7542,-71.0587,311.5,1,1,2024-02-25,1451,Terra,MODIS,45,61.03,299.9,5.2,D,0
18.5187,-71.1534,322.2,1,1,2024-02-25,1451,Terra,MODIS,75,61.03,300.5,14.8,D,0
18.946,-69.2969,324.9,1,1,2024-02-25,1824,Aqua,MODIS,78,61.03,302,16.6,D,0
18.6347,-69.0931,334.4,1,1,2024-02-25,1824,Aqua,MODIS,85,61.03,302.2,25.3,D,0
18.6333,-69.1026,335.8,1,1,2024-02-25,1824,Aqua,MODIS,86,61.03,299.9,27.5,D,0
18.644,-69.1012,325.7,1,1,2024-02-25,1824,Aqua,MODIS,72,61.03,297.9,14.5,D,0
18.4865,-70.1803,314.8,1.1,1,2024-02-25,1824,Aqua,MODIS,58,61.03,299.2,7.9,D,0
18.6929,-69.0804,353.8,1,1,2024-02-25,1824,Aqua,MODIS,84,61.03,296.9,63.7,D,0
18.6914,-69.0899,327.2,1,1,2024-02-25,1824,Aqua,MODIS,56,61.03,297.6,16.8,D,0
18.6759,-70.1522,319,1.1,1,2024-02-25,1824,Aqua,MODIS,46,61.03,302.7,10.4,D,0
18.8452,-69.5958,324.9,1,1,2024-02-25,1824,Aqua,MODIS,78,61.03,304.5,14.8,D,0
18.8437,-69.6055,319.4,1,1,2024-02-25,1824,Aqua,MODIS,69,61.03,303.8,8.4,D,0
18.9514,-69.6301,316.3,1,1,2024-02-25,1824,Aqua,MODIS,57,61.03,300.5,8.2,D,0
18.9499,-69.6399,321.2,1,1,2024-02-25,1824,Aqua,MODIS,73,61.03,300.7,12.9,D,0
18.9589,-69.6414,319.8,1,1,2024-02-25,1824,Aqua,MODIS,66,61.03,301.5,11.4,D,0
18.9387,-71.1287,318.7,1.2,1.1,2024-02-25,1824,Aqua,MODIS,66,61.03,300.3,15.4,D,0
18.7445,-69.0213,309.7,1,1,2024-02-27,0223,Terra,MODIS,78,61.03,292.2,9.4,N,0
18.478,-70.7181,335.5,1.4,1.2,2024-02-28,1849,Aqua,MODIS,86,61.03,300.5,43.2,D,0
18.7523,-71.6066,324.2,1.2,1.1,2024-02-28,1849,Aqua,MODIS,49,61.03,303.3,16.3,D,0
18.5953,-70.5079,303.5,1,1,2024-02-29,0700,Aqua,MODIS,55,61.03,289.3,6.4,N,0
18.3959,-71.309,329.4,4.8,2,2024-02-29,1752,Aqua,MODIS,82,61.03,297.4,198.3,D,0
18.3965,-71.3055,328.9,4.8,2,2024-02-29,1752,Aqua,MODIS,84,61.03,297.4,194.1,D,0
18.5649,-69.7126,319.9,1.4,1.2,2024-03-01,1457,Terra,MODIS,76,61.03,299.3,18.2,D,0
18.6175,-69.8489,327.9,1.3,1.1,2024-03-01,1457,Terra,MODIS,83,61.03,298.5,29.9,D,0
18.6536,-69.9424,312.6,1.3,1.1,2024-03-01,1457,Terra,MODIS,64,61.03,299.5,7.1,D,0
18.2796,-70.2346,315.1,1.3,1.1,2024-03-01,1457,Terra,MODIS,65,61.03,297.4,11.7,D,0
18.439,-70.6552,315.5,1.2,1.1,2024-03-01,1457,Terra,MODIS,45,61.03,300.1,6.7,D,0
18.5947,-69.9593,311.7,1.3,1.1,2024-03-01,1457,Terra,MODIS,63,61.03,297.9,7.7,D,0
18.5966,-69.9713,315.1,1.3,1.1,2024-03-01,1457,Terra,MODIS,69,61.03,298.2,11.5,D,0
18.3764,-70.3122,312.1,1,1,2024-03-01,1833,Aqua,MODIS,41,61.03,298.9,5.2,D,0
18.3676,-70.3108,313.3,1,1,2024-03-01,1833,Aqua,MODIS,57,61.03,299.4,6,D,0
17.8695,-71.3116,316,1,1,2024-03-01,1833,Aqua,MODIS,65,61.03,301.7,7.5,D,0
18.3868,-71.804,316,1,1,2024-03-01,1833,Aqua,MODIS,64,61.03,301.9,7.5,D,0
18.3883,-71.7946,320.2,1,1,2024-03-01,1833,Aqua,MODIS,72,61.03,301.9,11.4,D,0
18.6592,-69.9574,338.8,1,1,2024-03-01,1833,Aqua,MODIS,78,61.03,299.9,34,D,0
19.0417,-71.5642,347,1,1,2024-03-01,1834,Aqua,MODIS,93,61.03,305.5,47.5,D,0
18.8353,-71.0228,319.8,1,1,2024-03-01,1834,Aqua,MODIS,65,61.03,303.2,8.5,D,0
19.6862,-71.4484,319.1,1,1,2024-03-01,1834,Aqua,MODIS,49,61.03,301.2,9.5,D,0
19.1806,-71.6237,319.7,1,1,2024-03-01,1834,Aqua,MODIS,54,61.03,305.9,6.6,D,0
19.1639,-71.5522,328.8,1,1,2024-03-01,1834,Aqua,MODIS,80,61.03,304.2,16.5,D,0
19.1654,-71.5427,324.7,1,1,2024-03-01,1834,Aqua,MODIS,69,61.03,304.1,11.9,D,0
19.1513,-71.32,312,1,1,2024-03-01,1834,Aqua,MODIS,31,61.03,293.9,7.4,D,0
19.0194,-69.6175,314.1,1,1,2024-03-01,1834,Aqua,MODIS,65,61.03,295.6,8.9,D,0
19.3397,-71.4295,315.9,1,1,2024-03-01,1834,Aqua,MODIS,42,61.03,301.4,9.1,D,0
19.4653,-70.7866,303.8,1.1,1,2024-03-03,0230,Terra,MODIS,57,61.03,292.5,5.5,N,0
19.6908,-71.2863,315.8,1.2,1.1,2024-03-03,1440,Terra,MODIS,50,61.03,301.8,7.8,D,0
18.3901,-70.9052,329.7,1.1,1,2024-03-03,1440,Terra,MODIS,82,61.03,302.9,24.7,D,0
18.6621,-71.5893,311.9,1.7,1.3,2024-03-03,1818,Aqua,MODIS,32,61.03,294.5,16.2,D,0
18.8653,-71.1544,321.6,1.6,1.2,2024-03-03,1818,Aqua,MODIS,74,61.03,300.6,22.4,D,0
18.919,-69.5557,311.8,1.2,1.1,2024-03-03,1818,Aqua,MODIS,62,61.03,292.5,9.8,D,0
18.5297,-71.4891,320.2,1.7,1.3,2024-03-03,1818,Aqua,MODIS,48,61.03,300.1,21.8,D,0
18.5325,-71.4733,347.3,1.7,1.3,2024-03-03,1818,Aqua,MODIS,94,61.03,300.4,104.3,D,0
18.8177,-69.7954,327.4,1.3,1.1,2024-03-03,1818,Aqua,MODIS,82,61.03,303.3,25.5,D,0
18.8196,-69.7836,318.9,1.3,1.1,2024-03-03,1818,Aqua,MODIS,41,61.03,302.5,12.8,D,2
18.8207,-69.5144,314.8,1.2,1.1,2024-03-03,1818,Aqua,MODIS,59,61.03,299.2,9,D,0
18.4955,-71.415,320.5,1.6,1.3,2024-03-03,1818,Aqua,MODIS,68,61.03,306,18.7,D,2
18.774,-69.0454,324,1.2,1.1,2024-03-03,1818,Aqua,MODIS,36,61.03,303.4,15.6,D,0
18.7757,-69.0346,339.1,1.2,1.1,2024-03-03,1818,Aqua,MODIS,90,61.03,303.3,42.2,D,2
18.5425,-69.6541,314.6,1.3,1.1,2024-03-03,1818,Aqua,MODIS,34,61.03,299.6,9.8,D,0
18.5198,-69.2924,327.1,1.2,1.1,2024-03-03,1818,Aqua,MODIS,80,61.03,304.7,22.6,D,0
18.5216,-69.2813,322,1.2,1.1,2024-03-03,1818,Aqua,MODIS,72,61.03,302.7,14,D,0
18.5336,-69.1469,406.2,1.2,1.1,2024-03-03,1818,Aqua,MODIS,100,61.03,309.6,365.1,D,0
18.5354,-69.136,324.4,1.2,1.1,2024-03-03,1818,Aqua,MODIS,72,61.03,305.2,17.4,D,0
19.3066,-71.677,340.2,1.7,1.3,2024-03-03,1818,Aqua,MODIS,90,61.03,302.8,79.8,D,0
19.3048,-71.6875,327,1.7,1.3,2024-03-03,1818,Aqua,MODIS,80,61.03,302.3,39.8,D,0
19.3074,-71.6723,333,1.7,1.3,2024-03-03,1818,Aqua,MODIS,85,61.03,302.3,56.4,D,0
18.8312,-71.0538,312.1,2.9,1.6,2024-03-04,1520,Terra,MODIS,60,61.03,297.3,29.7,D,0
18.9934,-71.7184,335.3,1.7,1.3,2024-03-04,1859,Aqua,MODIS,85,61.03,300.6,57.1,D,0
18.8085,-69.2891,305.1,1.1,1,2024-03-05,0213,Terra,MODIS,63,61.03,291.2,6.8,N,0
18.8071,-69.2989,302.4,1.1,1,2024-03-05,0213,Terra,MODIS,49,61.03,291.1,5.1,N,0
18.8108,-69.5799,302.7,1.1,1,2024-03-05,0213,Terra,MODIS,51,61.03,288.8,5.8,N,0
19.027,-71.3408,306.1,1.1,1.1,2024-03-05,0709,Aqua,MODIS,67,61.03,286.9,10.6,N,0
19.0364,-71.3394,315.9,1.1,1.1,2024-03-05,0709,Aqua,MODIS,92,61.03,285.7,19,N,0
18.8869,-69.5301,311,2.3,1.5,2024-03-05,1802,Aqua,MODIS,60,61.03,295.7,20.5,D,0
19.7453,-71.589,317.9,1.3,1.1,2024-03-06,1503,Terra,MODIS,71,61.03,300.3,12,D,0
18.3944,-70.8835,320.7,1.5,1.2,2024-03-06,1503,Terra,MODIS,74,61.03,299.1,19.4,D,0
18.3967,-70.8971,316.5,1.5,1.2,2024-03-06,1503,Terra,MODIS,61,61.03,299.3,13.6,D,0
19.0614,-71.4911,310.4,1.3,1.1,2024-03-06,1503,Terra,MODIS,47,61.03,291.7,9.1,D,0
18.4354,-71.1908,325.1,1.1,1,2024-03-06,1843,Aqua,MODIS,75,61.03,303.5,10.9,D,0
18.4249,-71.1993,339,1.1,1,2024-03-06,1843,Aqua,MODIS,88,61.03,305.8,33.9,D,0
18.6875,-69.0413,341.3,1.4,1.2,2024-03-06,1843,Aqua,MODIS,90,61.03,306,56.4,D,0
19.2272,-71.5307,316.4,1.1,1,2024-03-06,1843,Aqua,MODIS,34,61.03,295.2,7.9,D,0
18.9675,-69.5722,315.1,1.3,1.1,2024-03-06,1843,Aqua,MODIS,58,61.03,297.6,11,D,0
18.434,-71.2007,378.9,1.1,1,2024-03-06,1843,Aqua,MODIS,100,61.03,305.6,149.3,D,0
18.5311,-69.354,310.4,2,1.4,2024-03-07,0156,Terra,MODIS,80,61.03,292.2,25.4,N,0
18.5362,-69.3604,306.3,2,1.4,2024-03-07,0156,Terra,MODIS,67,61.03,292,18,N,0
18.81,-69.292,301.5,1,1,2024-03-07,0653,Aqua,MODIS,41,61.03,291.4,4.8,N,0
19.247,-69.8345,322.8,1,1,2024-03-08,1446,Terra,MODIS,75,61.03,300.7,14.1,D,0
19.2484,-69.8439,324.1,1,1,2024-03-08,1446,Terra,MODIS,77,61.03,299.2,15.7,D,0
18.6215,-71.8305,318.6,1,1,2024-03-08,1446,Terra,MODIS,68,61.03,299.9,9.1,D,0
18.9695,-70.0142,315.9,1,1,2024-03-08,1446,Terra,MODIS,69,61.03,295.2,9.3,D,0
18.7411,-69.8295,317.9,1,1,2024-03-08,1827,Aqua,MODIS,49,61.03,300.9,5.8,D,0
18.7397,-69.8391,320.7,1,1,2024-03-08,1827,Aqua,MODIS,58,61.03,301.5,8,D,0
19.4722,-70.0025,323.3,1,1,2024-03-08,1827,Aqua,MODIS,76,61.03,299.5,14.3,D,0
19.7033,-71.3799,321.1,1.1,1.1,2024-03-08,1827,Aqua,MODIS,68,61.03,303.7,9.3,D,0
17.9446,-71.326,311,1.2,1.1,2024-03-08,1827,Aqua,MODIS,38,61.03,299.6,5.9,D,0
17.9464,-71.315,311.6,1.2,1.1,2024-03-08,1827,Aqua,MODIS,46,61.03,299.4,6,D,0
18.6118,-68.774,323.6,1,1,2024-03-08,1827,Aqua,MODIS,61,61.03,301.4,11.8,D,0
18.5619,-69.4233,318.2,1,1,2024-03-08,1827,Aqua,MODIS,33,61.03,300.5,5.3,D,0
18.5605,-69.4327,317.9,1,1,2024-03-08,1827,Aqua,MODIS,45,61.03,300.9,5.6,D,0
19.1213,-71.3058,300.2,1.1,1,2024-03-10,0219,Terra,MODIS,23,61.03,289,6.1,N,0
18.4462,-68.5386,323.1,1.4,1.2,2024-03-10,1811,Aqua,MODIS,63,61.03,304.3,17,D,0
19.0194,-71.5178,331.8,2.2,1.4,2024-03-10,1811,Aqua,MODIS,79,61.03,304.7,62.6,D,0
19.023,-71.5014,322.7,2.2,1.4,2024-03-10,1811,Aqua,MODIS,46,61.03,301,35.9,D,0
19.019,-71.5225,326.9,2.2,1.4,2024-03-10,1811,Aqua,MODIS,61,61.03,304.8,43.6,D,0
18.7586,-68.9775,321.2,2.6,1.6,2024-03-11,1509,Terra,MODIS,77,61.03,293.6,56.6,D,0
18.7628,-69.0006,326.6,2.6,1.6,2024-03-11,1509,Terra,MODIS,82,61.03,296.5,78.1,D,0
18.7512,-68.9727,311.5,2.6,1.6,2024-03-11,1509,Terra,MODIS,45,61.03,291.3,21.8,D,0
18.7556,-68.9957,339.7,2.6,1.6,2024-03-11,1509,Terra,MODIS,90,61.03,297,153,D,0
18.3576,-71.7035,324.8,1.3,1.1,2024-03-11,1852,Aqua,MODIS,52,61.03,306.5,14.3,D,0
19.1952,-71.4566,337.5,1.4,1.2,2024-03-11,1852,Aqua,MODIS,86,61.03,302.9,45.4,D,0
19.2078,-71.4132,327.4,1.4,1.2,2024-03-11,1852,Aqua,MODIS,74,61.03,299.7,31,D,0
19.2014,-71.4658,356.5,1.4,1.2,2024-03-11,1852,Aqua,MODIS,98,61.03,301,111,D,0
19.1802,-71.6376,325.3,1.3,1.1,2024-03-11,1852,Aqua,MODIS,71,61.03,303.1,15.1,D,0
19.2181,-71.4147,327.9,1.4,1.2,2024-03-11,1852,Aqua,MODIS,75,61.03,298.6,32.2,D,0
18.3477,-71.702,324.6,1.3,1.1,2024-03-11,1852,Aqua,MODIS,61,61.03,307.1,15.1,D,0
17.8023,-71.4167,334.5,1.3,1.1,2024-03-11,1852,Aqua,MODIS,86,61.03,303.7,35.7,D,0
18.3561,-71.7153,335.5,1.3,1.1,2024-03-11,1852,Aqua,MODIS,85,61.03,309.9,34.5,D,0
18.6977,-71.5089,327.9,1.3,1.1,2024-03-11,1852,Aqua,MODIS,69,61.03,308.4,19.3,D,0
18.8838,-71.5699,326.4,1.3,1.1,2024-03-11,1852,Aqua,MODIS,68,61.03,308.6,11.7,D,0
18.894,-71.5713,327.3,1.3,1.1,2024-03-11,1852,Aqua,MODIS,71,61.03,308.8,13.7,D,0
19.1145,-71.364,332,1.4,1.2,2024-03-11,1852,Aqua,MODIS,81,61.03,295.7,37.7,D,0
19.1221,-71.3715,318.3,1.4,1.2,2024-03-11,1852,Aqua,MODIS,26,61.03,297.6,12.6,D,0
19.2094,-71.4726,306.6,2.1,1.4,2024-03-12,0202,Terra,MODIS,69,61.03,287.5,22.9,N,0
