latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.753,20.8358,308.4,1,1,2024-01-30,1203,Aqua,MODIS,67,61.03,280.8,11.3,D,0
42.2572,21.3952,310,2.7,1.6,2024-01-31,1244,Aqua,MODIS,60,61.03,278.3,51.9,D,0
42.263,21.3878,303,2.7,1.6,2024-01-31,1244,Aqua,MODIS,55,61.03,278.3,35.9,D,0
42.488,21.382,303.1,1.1,1,2024-02-04,1213,Aqua,MODIS,55,61.03,284.3,6.4,D,0
42.5016,21.5641,300,1.1,1,2024-02-04,1213,Aqua,MODIS,13,61.03,286.1,4.3,D,0
42.4124,21.4319,305.2,1.1,1,2024-02-04,1213,Aqua,MODIS,61,61.03,289.1,7.1,D,0
42.7998,21.3097,301.1,1.1,1,2024-02-04,1213,Aqua,MODIS,42,61.03,285,6.4,D,0
42.5527,21.1641,300.7,1.1,1,2024-02-04,1213,Aqua,MODIS,36,61.03,285.5,3.5,D,0
42.3904,20.7165,302.4,1.1,1,2024-02-06,1158,Aqua,MODIS,52,61.03,284.9,6.2,D,0
42.5308,21.6254,300.1,1,1,2024-02-06,1158,Aqua,MODIS,27,61.03,285.6,3.9,D,0
42.8824,21.0971,311.1,1.1,1,2024-02-06,1158,Aqua,MODIS,71,61.03,283.5,13.2,D,0
42.8357,21.0381,312,1.1,1,2024-02-06,1158,Aqua,MODIS,72,61.03,281.5,13.3,D,0
42.8336,21.0252,313.9,1.1,1,2024-02-06,1158,Aqua,MODIS,74,61.03,282,14.8,D,0
42.8483,21.4032,310.1,1,1,2024-02-06,1158,Aqua,MODIS,70,61.03,274.5,13,D,0
42.4079,20.552,306.6,1.1,1.1,2024-02-06,1158,Aqua,MODIS,64,61.03,284,9.6,D,0
42.4003,20.5473,302.3,1.1,1.1,2024-02-06,1158,Aqua,MODIS,46,61.03,285.9,5.7,D,0
42.4025,20.5605,303.9,1.1,1.1,2024-02-06,1158,Aqua,MODIS,55,61.03,286.1,6.5,D,0
42.4762,20.3738,300.5,1.2,1.1,2024-02-09,1223,Aqua,MODIS,38,61.03,282.7,6,D,0
42.4779,20.388,308.3,1.2,1.1,2024-02-09,1223,Aqua,MODIS,67,61.03,279.4,12.1,D,0
42.5626,20.4244,302.9,1.1,1,2024-02-18,1202,Aqua,MODIS,54,61.03,289.9,5.1,D,0
42.7169,20.8014,315.4,1,1,2024-02-18,1202,Aqua,MODIS,74,61.03,289.3,13.5,D,0
42.7624,20.5089,302.7,1.1,1,2024-02-18,1202,Aqua,MODIS,53,61.03,291.6,4.1,D,0
