latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.9169,-55.3681,326.3,2.4,1.5,2024-01-04,1407,Terra,MODIS,83,61.03,293.3,76.1,D,0
4.917,-55.3845,338.5,2.4,1.5,2024-01-04,1407,Terra,MODIS,90,61.03,293.2,135.7,D,0
4.9134,-55.3617,312.2,2.4,1.5,2024-01-04,1407,Terra,MODIS,68,61.03,292.8,28.6,D,0
4.9202,-55.3904,325.3,2.4,1.5,2024-01-04,1407,Terra,MODIS,82,61.03,292.9,71.6,D,0
5.8365,-55.0534,316.8,1,1,2024-01-05,1736,Aqua,MODIS,69,61.03,297.9,8.7,D,0
4.9237,-55.3709,308.1,1,1,2024-01-05,1736,Aqua,MODIS,52,61.03,293,3.1,D,0
4.9224,-55.3797,319.6,1,1,2024-01-05,1736,Aqua,MODIS,76,61.03,292.4,12.6,D,0
5.8352,-55.0622,322.3,1,1,2024-01-05,1736,Aqua,MODIS,76,61.03,298.2,13.9,D,0
5.9135,-56.8522,322.2,1.1,1,2024-01-05,1737,Aqua,MODIS,59,61.03,303.5,9.9,D,0
5.7716,-56.8187,328.9,1.1,1,2024-01-05,1737,Aqua,MODIS,82,61.03,299,22.8,D,0
5.8859,-56.7927,324.6,1.1,1,2024-01-05,1737,Aqua,MODIS,54,61.03,303.6,12,D,0
5.9092,-56.8809,331,1.1,1,2024-01-05,1737,Aqua,MODIS,84,61.03,301.6,22.4,D,0
5.7775,-56.8583,310.9,1.1,1,2024-01-06,0133,Terra,MODIS,81,61.03,295.2,9,N,0
5.7761,-56.868,328.6,1.1,1,2024-01-06,0133,Terra,MODIS,100,61.03,297.4,28.6,N,0
5.772,-56.8704,319.9,1,1,2024-01-06,1350,Terra,MODIS,77,61.03,298.7,12.5,D,0
5.7796,-56.8601,330.2,1,1,2024-01-06,1350,Terra,MODIS,85,61.03,302.1,23.2,D,0
5.7706,-56.8614,317.1,1,1,2024-01-06,1350,Terra,MODIS,67,61.03,298.8,9.7,D,0
5.9007,-56.794,321.7,1.9,1.3,2024-01-07,1721,Aqua,MODIS,15,61.03,303.5,24.4,D,0
5.7671,-56.8649,334.5,1.9,1.4,2024-01-07,1721,Aqua,MODIS,87,61.03,300.3,73.3,D,0
5.7817,-56.8497,314.6,1.9,1.4,2024-01-07,1721,Aqua,MODIS,38,61.03,300.2,14.3,D,0
5.7791,-56.8668,320.6,1.9,1.4,2024-01-07,1721,Aqua,MODIS,73,61.03,301.7,29.5,D,0
5.7741,-56.8534,328.9,1.9,1.4,2024-01-07,1721,Aqua,MODIS,83,61.03,300.6,53.5,D,0
5.7713,-56.8705,331.3,1.9,1.4,2024-01-07,1721,Aqua,MODIS,85,61.03,301.4,62.8,D,0
4.9178,-55.3809,304.9,1.7,1.3,2024-01-08,0115,Terra,MODIS,62,61.03,290.9,10.6,N,0
5.7687,-56.864,305.8,2.1,1.4,2024-01-08,0116,Terra,MODIS,64,61.03,293.9,15.7,N,0
5.7701,-56.8696,304.6,2.1,1.4,2024-01-08,0116,Terra,MODIS,61,61.03,293.7,15,N,0
5.8955,-56.7544,311.2,1.2,1.1,2024-01-08,0539,Aqua,MODIS,82,61.03,293.2,12.5,N,0
5.7787,-56.8561,307.6,1.2,1.1,2024-01-08,0539,Aqua,MODIS,72,61.03,293.9,10,N,0
4.919,-55.3854,308.5,1.1,1,2024-01-08,1333,Terra,MODIS,28,61.03,288.4,4.6,D,0
5.8569,-56.6783,345.2,1.7,1.3,2024-01-08,1802,Aqua,MODIS,93,61.03,298.9,91.5,D,0
5.8684,-56.6798,336.7,1.7,1.3,2024-01-08,1802,Aqua,MODIS,87,61.03,298.9,57.4,D,0
5.8564,-56.6867,334.5,1.7,1.3,2024-01-08,1802,Aqua,MODIS,86,61.03,295.9,53.9,D,0
5.8586,-56.6714,346.5,1.7,1.3,2024-01-08,1802,Aqua,MODIS,93,61.03,299.9,98.4,D,0
4.9187,-55.3805,326.7,2.1,1.4,2024-01-08,1802,Aqua,MODIS,82,61.03,293.4,58.7,D,0
5.8678,-56.6675,328.7,1.2,1.1,2024-01-12,1732,Aqua,MODIS,55,61.03,303.8,19.1,D,0
5.8753,-56.6548,344.9,2.8,1.6,2024-01-13,1813,Aqua,MODIS,87,61.03,295.3,185.1,D,0
5.7832,-56.8134,319.6,2.7,1.6,2024-01-13,1813,Aqua,MODIS,63,61.03,294.1,33,D,0
5.8752,-56.6421,308.6,2.1,1.4,2024-01-14,0203,Terra,MODIS,75,61.03,293.1,20.7,N,0
5.8728,-56.6608,314.6,2.1,1.4,2024-01-14,0203,Terra,MODIS,90,61.03,293.2,33.8,N,0
5.8533,-56.673,327.6,2.4,1.5,2024-01-14,1716,Aqua,MODIS,59,61.03,298.2,60.1,D,0
5.8566,-56.6519,332,2.4,1.5,2024-01-14,1716,Aqua,MODIS,72,61.03,298.5,82.2,D,0
5.8698,-56.6541,331.2,2.4,1.5,2024-01-14,1716,Aqua,MODIS,61,61.03,298.7,75.1,D,0
5.8831,-56.6572,305.1,1.5,1.2,2024-01-15,0534,Aqua,MODIS,63,61.03,292.1,9.4,N,0
5.8786,-56.6512,302.7,1.5,1.2,2024-01-15,0534,Aqua,MODIS,51,61.03,292,6.9,N,0
5.9049,-56.5098,319,1.4,1.2,2024-01-15,1757,Aqua,MODIS,69,61.03,284.6,21.8,D,0
5.7846,-56.7114,315.7,1.4,1.2,2024-01-15,1757,Aqua,MODIS,37,61.03,294.7,9.2,D,0
5.7829,-56.7235,317.3,1.4,1.2,2024-01-15,1757,Aqua,MODIS,61,61.03,294.9,10.8,D,0
5.8651,-56.6609,336.3,1.4,1.2,2024-01-15,1757,Aqua,MODIS,86,61.03,300.7,41.8,D,0
5.864,-56.6551,327.1,1.4,1.2,2024-01-15,1757,Aqua,MODIS,55,61.03,300.8,20.9,D,0
5.8743,-56.6565,326.7,1.4,1.2,2024-01-15,1757,Aqua,MODIS,60,61.03,301.5,19.6,D,0
5.9163,-56.5223,329.6,1.1,1.1,2024-01-16,0146,Terra,MODIS,100,61.03,291.6,30.5,N,0
5.9358,-56.7922,355.5,1.1,1,2024-01-16,0146,Terra,MODIS,100,61.03,294.7,81.2,N,0
5.9386,-56.8277,306.4,1.1,1,2024-01-16,0146,Terra,MODIS,66,61.03,293.3,5.6,N,0
5.9399,-56.8181,310.5,1.1,1,2024-01-16,0146,Terra,MODIS,79,61.03,293.2,8.7,N,0
5.9424,-56.799,319.1,1.1,1,2024-01-16,0146,Terra,MODIS,98,61.03,293.1,16.8,N,0
5.9437,-56.7894,322.5,1.1,1,2024-01-16,0146,Terra,MODIS,100,61.03,293.1,20.7,N,0
5.9345,-56.8017,326.3,1.1,1,2024-01-16,0146,Terra,MODIS,100,61.03,293.9,24.4,N,0
5.9083,-56.5112,303.6,1.1,1.1,2024-01-16,0146,Terra,MODIS,45,61.03,292.1,4,N,0
5.907,-56.521,322.3,1.1,1.1,2024-01-16,0146,Terra,MODIS,100,61.03,292.3,21.4,N,0
5.9176,-56.5125,329.9,1.1,1.1,2024-01-16,0146,Terra,MODIS,100,61.03,292.3,30.9,N,0
5.9371,-56.7826,318.2,1.1,1,2024-01-16,0146,Terra,MODIS,96,61.03,292.1,15.5,N,0
5.918,-56.5086,301.7,2.2,1.4,2024-01-16,0615,Aqua,MODIS,43,61.03,289.9,11,N,0
5.9487,-56.7854,313.9,2.1,1.4,2024-01-16,0615,Aqua,MODIS,88,61.03,290.1,34.3,N,0
5.9195,-56.5154,300.2,2.2,1.4,2024-01-16,0615,Aqua,MODIS,22,61.03,289.7,8.6,N,0
5.9362,-56.7873,309.8,2.1,1.4,2024-01-16,0615,Aqua,MODIS,78,61.03,289.7,26.5,N,0
5.9392,-56.806,321.9,2.1,1.4,2024-01-16,0615,Aqua,MODIS,100,61.03,286.5,57.1,N,0
5.9164,-56.4958,300.4,2.2,1.4,2024-01-16,0615,Aqua,MODIS,26,61.03,289.8,9.2,N,0
5.8871,-56.652,303.2,3,1.7,2024-01-17,0518,Aqua,MODIS,54,61.03,292,22.8,N,0
5.8856,-56.6589,328.9,1,1,2024-01-17,1742,Aqua,MODIS,59,61.03,303.5,12.4,D,0
5.6724,-55.281,313.5,1.2,1.1,2024-01-19,1726,Aqua,MODIS,59,61.03,299.6,7.2,D,0
5.9074,-56.5077,317.3,1.5,1.2,2024-01-19,1726,Aqua,MODIS,69,61.03,300.9,17,D,0
5.9055,-56.5208,314.4,1.5,1.2,2024-01-19,1726,Aqua,MODIS,63,61.03,301.1,12.5,D,0
4.9198,-55.3804,370.9,1.3,1.1,2024-01-19,1726,Aqua,MODIS,100,61.03,304.4,165.6,D,0
4.9181,-55.3915,327,1.3,1.1,2024-01-19,1726,Aqua,MODIS,82,61.03,300,28.4,D,0
5.8502,-56.6519,317.5,2.1,1.4,2024-01-21,1409,Terra,MODIS,67,61.03,296.5,29,D,0
5.8492,-56.6584,320.3,2.1,1.4,2024-01-21,1409,Terra,MODIS,71,61.03,296.5,36.7,D,0
5.855,-55.2491,313.5,2.4,1.5,2024-01-21,1711,Aqua,MODIS,51,61.03,297.3,19.2,D,0
5.8413,-56.662,319.5,3.1,1.7,2024-01-21,1711,Aqua,MODIS,61,61.03,298.3,56,D,0
5.8413,-56.6689,320.6,3.1,1.7,2024-01-21,1711,Aqua,MODIS,65,61.03,298.4,60.6,D,0
5.931,-56.8154,358.6,1.1,1.1,2024-01-22,1752,Aqua,MODIS,99,61.03,312,78.6,D,0
4.926,-55.3886,328.4,1.3,1.1,2024-01-22,1752,Aqua,MODIS,84,61.03,299.2,30.2,D,0
5.7794,-56.7205,331.8,1.1,1.1,2024-01-22,1752,Aqua,MODIS,82,61.03,305.7,22.7,D,0
5.9296,-56.8253,361.9,1.1,1.1,2024-01-22,1752,Aqua,MODIS,100,61.03,307.2,89,D,0
5.9418,-56.8068,327,1.1,1.1,2024-01-22,1752,Aqua,MODIS,36,61.03,310,12.2,D,0
5.9404,-56.8167,350.9,1.1,1.1,2024-01-22,1752,Aqua,MODIS,95,61.03,307.2,56.8,D,0
5.7827,-56.7283,306.2,1,1,2024-01-23,0135,Terra,MODIS,67,61.03,295.6,6,N,0
5.9272,-56.8165,316.9,1,1,2024-01-23,0135,Terra,MODIS,94,61.03,296,13.3,N,0
5.9361,-56.8178,309.4,1,1,2024-01-23,0135,Terra,MODIS,77,61.03,296.5,7.4,N,0
5.755,-54.4566,329.8,4.3,1.9,2024-01-23,1655,Aqua,MODIS,83,61.03,292.1,202.7,D,0
5.7583,-54.4612,332.1,4.3,1.9,2024-01-23,1655,Aqua,MODIS,84,61.03,292.8,227.7,D,0
5.796,-56.6396,311.7,1.1,1,2024-01-24,1737,Aqua,MODIS,60,61.03,298.1,5,D,0
5.7723,-56.8656,323,1.1,1.1,2024-01-24,1737,Aqua,MODIS,56,61.03,307.9,16.2,D,0
5.7791,-57.0567,322.8,1.1,1.1,2024-01-24,1737,Aqua,MODIS,70,61.03,302.7,14.4,D,0
5.7776,-57.0668,319,1.1,1.1,2024-01-24,1737,Aqua,MODIS,44,61.03,304.4,10,D,0
5.9111,-56.4873,311,1.1,1,2024-01-24,1737,Aqua,MODIS,20,61.03,294.2,4.2,D,0
5.9097,-56.4968,319.7,1.1,1,2024-01-24,1737,Aqua,MODIS,73,61.03,293.6,12.2,D,0
5.9083,-56.5063,315.5,1.1,1,2024-01-24,1737,Aqua,MODIS,64,61.03,296.7,7.9,D,0
5.9181,-56.5015,308.4,1.7,1.3,2024-01-25,0118,Terra,MODIS,74,61.03,293.5,15,N,0
5.7762,-56.8284,316.3,3.2,1.7,2024-01-25,1818,Aqua,MODIS,61,61.03,292.4,44.1,D,0
5.7752,-56.836,314.1,3.2,1.7,2024-01-25,1818,Aqua,MODIS,63,61.03,292.5,36.2,D,0
5.8365,-57.0243,317.1,2.7,1.6,2024-01-26,1416,Terra,MODIS,59,61.03,293.2,43,D,0
5.8226,-57.0264,322.7,2.7,1.6,2024-01-26,1416,Terra,MODIS,80,61.03,294.4,68.5,D,0
5.8317,-57.0318,326.9,2.7,1.6,2024-01-26,1416,Terra,MODIS,83,61.03,293.8,91.9,D,0
5.8236,-57.0439,314.7,2.1,1.4,2024-01-26,1721,Aqua,MODIS,32,61.03,296.1,21.3,D,0
5.9128,-56.7964,316.4,2,1.4,2024-01-26,1721,Aqua,MODIS,56,61.03,293,24.2,D,0
5.9101,-56.8143,316.6,2,1.4,2024-01-26,1721,Aqua,MODIS,60,61.03,294.1,24.2,D,0
5.9041,-56.8017,317.6,2,1.4,2024-01-26,1721,Aqua,MODIS,56,61.03,296.4,27.9,D,0
5.8119,-57.0218,323.6,1.5,1.2,2024-01-27,1802,Aqua,MODIS,40,61.03,297.5,22.4,D,0
5.7827,-57.0527,304.9,1,1,2024-01-28,0142,Terra,MODIS,62,61.03,293.4,4.9,N,0
5.911,-56.8583,310.2,1,1,2024-01-28,0142,Terra,MODIS,79,61.03,294.5,8,N,0
5.9199,-56.8596,317.2,1,1,2024-01-28,0142,Terra,MODIS,95,61.03,295.1,13.7,N,0
5.9187,-56.8686,305.4,1,1,2024-01-28,0142,Terra,MODIS,64,61.03,294.3,4.7,N,0
5.9227,-56.86,338.1,1.3,1.1,2024-01-28,1359,Terra,MODIS,89,61.03,302.3,49.4,D,0
5.9126,-56.8615,318.3,1.3,1.1,2024-01-28,1359,Terra,MODIS,53,61.03,298.5,13.1,D,0
5.7488,-57.0039,324.7,4.3,1.9,2024-01-28,1706,Aqua,MODIS,78,61.03,293.4,140.3,D,0
5.7427,-57.0421,324.8,4.4,1.9,2024-01-28,1706,Aqua,MODIS,78,61.03,292.3,139.3,D,0
5.7516,-57.0079,325.4,4.3,1.9,2024-01-28,1706,Aqua,MODIS,78,61.03,293.6,150.3,D,0
5.7452,-57.0461,321,4.4,1.9,2024-01-28,1706,Aqua,MODIS,73,61.03,292.4,110.9,D,0
5.8025,-57.0167,314.9,4.3,1.9,2024-01-28,1706,Aqua,MODIS,44,61.03,294.8,63.1,D,0
5.9214,-56.852,317.1,4.2,1.9,2024-01-28,1706,Aqua,MODIS,27,61.03,297.9,51.9,D,0
5.9282,-56.8254,308.9,2.6,1.5,2024-01-29,0523,Aqua,MODIS,76,61.03,292.8,32,N,0
5.8545,-56.6459,330.3,1.3,1.1,2024-02-03,1757,Aqua,MODIS,57,61.03,303.7,25.5,D,0
5.8593,-55.2957,305.4,1,1,2024-02-04,0131,Terra,MODIS,61,61.03,294.9,4.7,N,0
5.7818,-54.9973,311.1,1.2,1.1,2024-02-04,1348,Terra,MODIS,59,61.03,295.7,6.9,D,0
5.7777,-56.653,312.5,1,1,2024-02-04,1348,Terra,MODIS,41,61.03,293.9,7.1,D,0
5.862,-55.295,317.6,1,1,2024-02-05,1741,Aqua,MODIS,50,61.03,293.1,8.7,D,0
5.7761,-56.6442,342.6,1,1,2024-02-05,1741,Aqua,MODIS,92,61.03,297.1,41.5,D,0
5.7734,-56.6623,321.7,1,1,2024-02-05,1741,Aqua,MODIS,41,61.03,295.1,11.4,D,0
5.7721,-56.6714,367.4,1,1,2024-02-05,1741,Aqua,MODIS,100,61.03,299.1,101.3,D,0
5.7708,-56.6804,351.1,1,1,2024-02-05,1741,Aqua,MODIS,96,61.03,298.3,56.4,D,2
5.7827,-56.6702,314.5,1,1,2024-02-05,1741,Aqua,MODIS,45,61.03,296.2,6.2,D,0
5.7813,-56.6792,321.4,1,1,2024-02-05,1741,Aqua,MODIS,57,61.03,299.2,11.6,D,0
5.9057,-56.5192,320.6,1,1,2024-02-05,1741,Aqua,MODIS,72,61.03,298.2,11.8,D,0
5.9044,-56.5282,338.3,1,1,2024-02-05,1741,Aqua,MODIS,88,61.03,297.1,34.7,D,0
5.8725,-56.7448,324.4,1,1,2024-02-05,1741,Aqua,MODIS,56,61.03,297.7,11.7,D,0
5.8711,-56.7538,335.2,1,1,2024-02-05,1741,Aqua,MODIS,86,61.03,300.3,26.9,D,0
5.8801,-56.7552,328.3,1,1,2024-02-05,1741,Aqua,MODIS,78,61.03,301.1,17,D,0
5.9017,-56.7955,327.1,1,1,2024-02-05,1741,Aqua,MODIS,51,61.03,301.6,14.4,D,0
5.7712,-56.6663,305.8,1.1,1,2024-02-06,0558,Aqua,MODIS,66,61.03,291.4,5.8,N,0
5.8371,-57.0407,309.6,1.8,1.3,2024-02-07,1725,Aqua,MODIS,47,61.03,295.9,12.6,D,0
5.8999,-56.7796,329.2,1.9,1.3,2024-02-08,1807,Aqua,MODIS,81,61.03,296.8,45.9,D,0
5.9006,-56.7718,308.4,1,1,2024-02-09,0137,Terra,MODIS,71,61.03,293.9,6.3,N,0
5.8786,-56.7362,319.4,1.2,1.1,2024-02-09,1354,Terra,MODIS,57,61.03,288,11.8,D,0
5.869,-56.7376,343.1,1.2,1.1,2024-02-09,1354,Terra,MODIS,92,61.03,291.1,51.1,D,0
5.9188,-56.8416,321.2,1.1,1,2024-02-10,1751,Aqua,MODIS,60,61.03,299.1,8.3,D,0
5.6817,-54.0392,310.7,2.3,1.5,2024-02-15,1801,Aqua,MODIS,0,61.03,294.3,14.6,D,0
5.7675,-56.6273,314.8,1.5,1.2,2024-02-15,1801,Aqua,MODIS,31,61.03,297.4,10.5,D,0
5.7632,-57.0178,327.1,1.4,1.2,2024-02-15,1801,Aqua,MODIS,78,61.03,298.6,28.5,D,0
5.8788,-56.6495,333.9,1.5,1.2,2024-02-15,1801,Aqua,MODIS,58,61.03,305.8,31.4,D,0
5.8635,-56.6304,308.3,1.2,1.1,2024-02-16,0127,Terra,MODIS,72,61.03,294.5,8.1,N,0
5.8857,-56.6123,308.5,1.2,1.1,2024-02-16,0127,Terra,MODIS,73,61.03,294.7,7.8,N,0
5.8842,-56.6228,317.4,1.2,1.1,2024-02-16,0127,Terra,MODIS,95,61.03,295,16.8,N,0
5.9018,-56.8074,318.4,4.7,2,2024-02-16,1704,Aqua,MODIS,65,61.03,294.3,80.3,D,0
5.9023,-56.815,318.2,4.7,2,2024-02-16,1704,Aqua,MODIS,69,61.03,294.5,82.6,D,0
5.2662,-57.1558,339.9,1,1,2024-02-17,1745,Aqua,MODIS,85,61.03,300.3,38.6,D,0
5.2649,-57.1647,326.5,1,1,2024-02-17,1745,Aqua,MODIS,76,61.03,299.7,19.7,D,0
5.8055,-56.0428,330.8,1,1,2024-02-17,1745,Aqua,MODIS,83,61.03,297.8,23.3,D,0
5.8042,-56.0518,320.3,1,1,2024-02-17,1745,Aqua,MODIS,52,61.03,297.8,11.1,D,0
5.8144,-56.0441,321.2,1,1,2024-02-17,1745,Aqua,MODIS,66,61.03,297,12.4,D,0
5.9336,-56.8092,325.3,1,1,2024-02-17,1745,Aqua,MODIS,26,61.03,304.9,10.2,D,0
5.9425,-56.8105,322.9,1,1,2024-02-17,1745,Aqua,MODIS,31,61.03,302.7,7.3,D,0
5.9134,-56.8896,310.4,1.3,1.1,2024-02-19,0150,Terra,MODIS,79,61.03,295.9,10.5,N,0
5.7693,-56.6384,316.9,1.5,1.2,2024-02-19,1729,Aqua,MODIS,36,61.03,301.1,13.2,D,0
5.7653,-56.6643,324.6,1.5,1.2,2024-02-19,1729,Aqua,MODIS,74,61.03,301.5,25.6,D,0
5.7632,-56.6773,327.9,1.5,1.2,2024-02-19,1729,Aqua,MODIS,79,61.03,301.7,32.1,D,2
5.7779,-56.653,326.6,1.5,1.2,2024-02-19,1729,Aqua,MODIS,63,61.03,300.8,28,D,0
5.7759,-56.666,326.6,1.5,1.2,2024-02-19,1729,Aqua,MODIS,58,61.03,302.1,27.4,D,0
5.7738,-56.679,326,1.5,1.2,2024-02-19,1729,Aqua,MODIS,53,61.03,304,25.9,D,0
5.7875,-57.0441,324,1.6,1.2,2024-02-19,1729,Aqua,MODIS,72,61.03,299.2,26.7,D,0
5.8786,-56.7419,339.4,1.5,1.2,2024-02-19,1729,Aqua,MODIS,90,61.03,304.3,54.3,D,0
5.8766,-56.755,326.9,1.5,1.2,2024-02-19,1729,Aqua,MODIS,74,61.03,305.1,23,D,0
5.8872,-56.7567,340.2,1.5,1.2,2024-02-19,1729,Aqua,MODIS,90,61.03,303.4,58,D,0
5.9398,-56.7972,323.4,1.5,1.2,2024-02-19,1729,Aqua,MODIS,56,61.03,303.4,19.6,D,0
5.9378,-56.8104,326.9,1.5,1.2,2024-02-19,1729,Aqua,MODIS,62,61.03,304.4,23.8,D,0
5.7714,-56.6473,319.5,2.2,1.4,2024-02-20,1810,Aqua,MODIS,43,61.03,301.7,28.8,D,0
5.7688,-56.6668,322.3,2.2,1.4,2024-02-20,1810,Aqua,MODIS,53,61.03,302.8,35.3,D,0
5.7926,-57.0534,331.1,2.1,1.4,2024-02-20,1810,Aqua,MODIS,81,61.03,303.7,60.3,D,0
5.7835,-57.0594,337.3,2.1,1.4,2024-02-20,1810,Aqua,MODIS,87,61.03,302.1,88.3,D,0
5.9003,-56.5715,315.2,2.3,1.5,2024-02-20,1810,Aqua,MODIS,31,61.03,299.8,23.3,D,0
5.8355,-57.0479,324.2,2.1,1.4,2024-02-20,1810,Aqua,MODIS,35,61.03,303.6,37,D,0
5.8479,-57.0496,365.5,2.1,1.4,2024-02-20,1810,Aqua,MODIS,100,61.03,303.6,268,D,0
5.9339,-56.8001,328,2.2,1.4,2024-02-20,1810,Aqua,MODIS,37,61.03,305.8,42.3,D,0
5.7686,-56.6451,309.6,1,1,2024-02-21,0133,Terra,MODIS,78,61.03,294.4,7.8,N,0
5.9453,-56.7985,322.6,1.1,1,2024-02-21,1350,Terra,MODIS,47,61.03,306.9,12.3,D,0
5.7794,-56.6705,322.1,1.1,1,2024-02-21,1350,Terra,MODIS,32,61.03,305.6,12.1,D,0
5.848,-55.2566,330.3,2.3,1.5,2024-02-21,1714,Aqua,MODIS,85,61.03,298.7,71.3,D,0
5.8582,-55.2633,327.1,2.3,1.5,2024-02-21,1714,Aqua,MODIS,82,61.03,299.2,61.3,D,0
5.7671,-56.655,318,3,1.6,2024-02-21,1714,Aqua,MODIS,31,61.03,299.9,45.2,D,0
5.7774,-56.684,319.7,3,1.7,2024-02-21,1714,Aqua,MODIS,44,61.03,300,48.1,D,2
5.7778,-57.0545,338.3,3.2,1.7,2024-02-21,1714,Aqua,MODIS,89,61.03,300.5,183.7,D,0
5.7731,-57.0829,314.2,3.2,1.7,2024-02-21,1714,Aqua,MODIS,28,61.03,300.2,29.3,D,0
5.8423,-57.0363,323.5,3.2,1.7,2024-02-21,1714,Aqua,MODIS,62,61.03,297.9,74.2,D,0
5.8378,-57.0646,346.1,3.2,1.7,2024-02-21,1714,Aqua,MODIS,88,61.03,298.6,252.7,D,0
5.8411,-57.0432,336.3,3.2,1.7,2024-02-21,1714,Aqua,MODIS,88,61.03,298.8,164.8,D,0
5.8364,-57.0715,334.5,3.2,1.7,2024-02-21,1714,Aqua,MODIS,75,61.03,298.1,149.2,D,0
5.8561,-57.0457,315.3,3.2,1.7,2024-02-21,1714,Aqua,MODIS,62,61.03,297.5,40.2,D,0
5.928,-56.8864,326,3.1,1.7,2024-02-21,1714,Aqua,MODIS,53,61.03,302.8,66.8,D,0
5.9236,-56.9139,324.1,3.1,1.7,2024-02-21,1714,Aqua,MODIS,40,61.03,302.9,63.5,D,0
5.8987,-56.7392,304.6,3.8,1.8,2024-02-22,0213,Terra,MODIS,36,61.03,293.5,28.9,N,0
5.919,-56.7081,306.8,3.8,1.8,2024-02-22,0213,Terra,MODIS,69,61.03,293.4,36.6,N,0
5.9147,-56.7412,312.6,3.8,1.8,2024-02-22,0213,Terra,MODIS,85,61.03,293.4,65.4,N,0
5.8913,-56.7434,307.3,3.8,1.8,2024-02-22,0213,Terra,MODIS,42,61.03,293.5,39,N,0
5.9274,-56.7145,312.9,3.8,1.8,2024-02-22,0213,Terra,MODIS,86,61.03,293.6,68,N,0
5.9233,-56.7476,309.1,3.8,1.8,2024-02-22,0213,Terra,MODIS,76,61.03,293.5,49.1,N,0
5.9304,-56.7343,322,1.9,1.3,2024-02-22,0531,Aqua,MODIS,100,61.03,294.2,45.3,N,0
5.9281,-56.7177,329.5,1.9,1.3,2024-02-22,0531,Aqua,MODIS,100,61.03,294.5,66.5,N,0
5.9185,-56.736,306.8,1.9,1.3,2024-02-22,0531,Aqua,MODIS,69,61.03,294,14.7,N,0
5.8274,-56.0991,319.9,1.2,1.1,2024-02-22,1755,Aqua,MODIS,60,61.03,300.2,13.4,D,0
5.8259,-56.1101,330.4,1.2,1.1,2024-02-22,1755,Aqua,MODIS,82,61.03,301.3,29.7,D,0
5.7708,-56.643,327.1,1.2,1.1,2024-02-22,1755,Aqua,MODIS,78,61.03,304.6,19.5,D,0
5.7803,-56.6444,328.2,1.2,1.1,2024-02-22,1755,Aqua,MODIS,75,61.03,301.6,19.6,D,0
5.7789,-56.6546,328.4,1.2,1.1,2024-02-22,1755,Aqua,MODIS,70,61.03,304.5,19.5,D,0
5.7774,-56.6648,327.1,1.2,1.1,2024-02-22,1755,Aqua,MODIS,66,61.03,303.5,17.5,D,0
5.776,-56.6751,325.4,1.2,1.1,2024-02-22,1755,Aqua,MODIS,54,61.03,304.4,15.4,D,0
5.763,-57.0174,315.8,1.1,1.1,2024-02-22,1755,Aqua,MODIS,37,61.03,298.1,8.6,D,0
5.8634,-56.3647,328.8,1.2,1.1,2024-02-22,1755,Aqua,MODIS,48,61.03,303.5,20.9,D,0
5.8619,-56.3753,336.1,1.2,1.1,2024-02-22,1755,Aqua,MODIS,77,61.03,303.3,33.7,D,0
5.8716,-56.3767,328,1.2,1.1,2024-02-22,1755,Aqua,MODIS,51,61.03,304.6,18.3,D,0
5.798,-56.972,329.2,1.1,1.1,2024-02-22,1755,Aqua,MODIS,80,61.03,300,23.1,D,0
5.7966,-56.9819,334.2,1.1,1.1,2024-02-22,1755,Aqua,MODIS,84,61.03,299.7,30.5,D,0
5.7868,-57.0509,321.7,1.1,1,2024-02-22,1755,Aqua,MODIS,37,61.03,302.5,12.3,D,0
5.8528,-56.6509,333.3,1.2,1.1,2024-02-22,1755,Aqua,MODIS,27,61.03,307,21.1,D,0
5.8059,-56.9832,324.2,1.1,1.1,2024-02-22,1755,Aqua,MODIS,74,61.03,300.2,16.4,D,0
5.8045,-56.9931,325.8,1.1,1.1,2024-02-22,1755,Aqua,MODIS,50,61.03,302.4,17.5,D,0
5.8031,-57.003,371.9,1.1,1.1,2024-02-22,1755,Aqua,MODIS,100,61.03,304.1,132.2,D,0
5.8017,-57.0129,341.6,1.1,1.1,2024-02-22,1755,Aqua,MODIS,90,61.03,300.6,43.1,D,0
5.9234,-56.7293,361.2,1.1,1.1,2024-02-22,1755,Aqua,MODIS,100,61.03,304.4,94.4,D,0
5.922,-56.7395,331.9,1.1,1.1,2024-02-22,1755,Aqua,MODIS,79,61.03,302.9,24.4,D,0
5.9387,-56.6898,333.4,1.2,1.1,2024-02-22,1755,Aqua,MODIS,63,61.03,300.5,27.8,D,0
5.9329,-56.7307,339.1,1.1,1.1,2024-02-22,1755,Aqua,MODIS,88,61.03,303.2,36.3,D,0
5.9315,-56.7409,335.1,1.1,1.1,2024-02-22,1755,Aqua,MODIS,85,61.03,299.8,29.5,D,0
5.9116,-56.8823,330.9,1.1,1.1,2024-02-22,1755,Aqua,MODIS,74,61.03,307.3,15.6,D,0
5.9323,-56.8031,328.3,1.1,1.1,2024-02-22,1755,Aqua,MODIS,72,61.03,306.4,16.8,D,0
5.9181,-56.9036,361,1.1,1.1,2024-02-22,1755,Aqua,MODIS,100,61.03,306.8,86.6,D,0
5.9167,-56.9136,353.2,1.1,1.1,2024-02-22,1755,Aqua,MODIS,96,61.03,304.7,65.4,D,0
